Mandarin Headline,English Headline,Content Link,Archive Link,Status,Translator,Link to Translation
新型肺炎疫情防控下的武汉生活,Life in Wuhan Under 2019-nCoV Prevention and Control,https://mp.weixin.qq.com/s/cg4qHhta8nLx93PDaW1dHQ,https://web.archive.org/web/20200203023328/https://mp.weixin.qq.com/s/cg4qHhta8nLx93PDaW1dHQ,In Progress,,
肺炎疫情中的人們,People in a Pneumonia Epidemic,https://mp.weixin.qq.com/s/kUY_Sr3s52pn4jfs8RK60A,https://web.archive.org/save/https://mp.weixin.qq.com/s/kUY_Sr3s52pn4jfs8RK60A,Untranslated,,
 防疫升級後的武漢 ,Wuhan After Epidemic Prevention Upgrade,https://mp.weixin.qq.com/s/-RmxrJ8VeqzgiBMAGmzYPA,https://web.archive.org/web/20200203023701/https://mp.weixin.qq.com/s/-RmxrJ8VeqzgiBMAGmzYPA,Untranslated,,
全國人在吃年夜飯 他們在建「武漢小湯山」,"While the Whole Nation Is Having New Year’s Eve Meal, They Are Building “Xiaotangshan Hospital” in Wuhan",https://mp.weixin.qq.com/s/BsKYzzw0CH9e-jQTa76iGQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/BsKYzzw0CH9e-jQTa76iGQ,Untranslated,,
中青報記者大年初一探訪武漢市第五醫院,Reporters From China Youth Daily Visit Wuhan No.5 Hospital on the First Day of Lunar New Year,https://mp.weixin.qq.com/s/EdIVxRLtkUZPGD_L4pXOBA,https://web.archive.org/save/https://mp.weixin.qq.com/s/EdIVxRLtkUZPGD_L4pXOBA,Untranslated,,
一个湖北村庄的防疫故事：村医穿雨衣当防护服 ,A Disease Control Story in a Hubei Village: A Village Doctor Wears Rain Jacket as Hazard Suit,https://mp.weixin.qq.com/s/Ual8bxKz-IaLOeyCD-DWlw,https://web.archive.org/web/20200203024201/https://mp.weixin.qq.com/s/Ual8bxKz-IaLOeyCD-DWlw,Translated Pending Edit,Kendra,https://docs.google.com/document/d/1YLixNSTZgCRJC2l81NLl8Fxb3-paO4fL_fsbib_AkWg
武汉部分医院仍然“喊渴” ,Some Hospitals in Wuhan Are Still “Thirsty” (For Medical Resources),https://mp.weixin.qq.com/s/willAfAQ6U2igKSOHxHgrg,https://web.archive.org/save/https://mp.weixin.qq.com/s/willAfAQ6U2igKSOHxHgrg,Untranslated,,
三個年輕人和100萬隻口罩,Three Young People and One Million Masks,https://mp.weixin.qq.com/s/2lopW3OCS2FIK4KSaZBY-w,https://web.archive.org/save/https://mp.weixin.qq.com/s/2lopW3OCS2FIK4KSaZBY-w,Untranslated,,
钟南山发话前，武汉这位医生向附近学校发出疫情警报,"Before Zhong Nanshan Spoke, This Doctor in Wuhan Warned Nearby Schools About Epidemic",https://mp.weixin.qq.com/s/IzzCnz4Yr2jEIYZePiu_ow,https://web.archive.org/save/https://mp.weixin.qq.com/s/IzzCnz4Yr2jEIYZePiu_ow,Untranslated,,
武汉新型肺炎：为何直到今天才引起更大注意？,Wuhan Novel Pneumonia: Why No Attention Until Now?,https://mp.weixin.qq.com/s/xuf8nn1OPOY51cyZMduQ-Q,https://web.archive.org/web/20200127134219/https://mp.weixin.qq.com/s/xuf8nn1OPOY51cyZMduQ-Q,Untranslated,,
武汉肺炎一线医生口述：大爆发期或将到来 ,Verbal Account From Wuhan Doctor at Front Line: Explosion Period Is Coming,https://w.url.cn/s/AvzMAsM,https://web.archive.org/save/https://new.qq.com/omn/HEE20200/HEE2020012400700600.html,Untranslated,,
"武汉肺炎重症患者：一床难求
",From Pneumonia Patient in Critical Condition: Hard to Find Even One Bed,https://w.url.cn/s/AAE3ZPF,https://news.sina.com.cn/c/2020-01-23/doc-iihnzahk6002239.shtml,Untranslated,,
“灯下黑”：武汉周边的疫情危机 ,Darkness Around Spotlight: Epidemic Crisis in Wuhan’s Surrounding Areas ,https://mp.weixin.qq.com/s/PpEqQsyF2HklmlOvHDLw4A,https://web.archive.org/save/https://mp.weixin.qq.com/s/PpEqQsyF2HklmlOvHDLw4A,In Progress,李鑫（Bella),
湖北黄冈：一家四口疑似病例难确诊 ,Hubei Huanggang: Four Suspected Cases in One Family Who Can’t Get Diagnosed,https://mp.weixin.qq.com/s/DgYS6o-EhDCdN41_Za075A,https://web.archive.org/save/https://mp.weixin.qq.com/s/DgYS6o-EhDCdN41_Za075A,Untranslated,,
"武汉医疗物资之困：我们能做什么?
","Wuhan Trapped in a Shortage of Medical Resources: What Can We Do?
",https://mp.weixin.qq.com/s/guukcVI7iuu7aIeqzFVxFw,https://web.archive.org/web/20200203025324/https://mp.weixin.qq.com/s/guukcVI7iuu7aIeqzFVxFw,Untranslated,,
试剂盒困局：为何确诊这么难?,A Difficult Time With Testing Kits: Why Is It so Hard to Get Diagnosed?,https://mp.weixin.qq.com/s/Xq7jT0ErmFsIXZY5m3xoNQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/Xq7jT0ErmFsIXZY5m3xoNQ,Untranslated,,
野味消费：病毒突变的“祸根”,Consuming Wildlife: The Root of Virus Mutation,https://mp.weixin.qq.com/s/QkeE500Jgher5WRP1CWTIQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/QkeE500Jgher5WRP1CWTIQ,Untranslated,,
武汉急诊一线医生口述：惟愿冬天早点过去,Verbal Account From a Wuhan Emergency Room Doctor: Hope the Winter Is Gone Soon,https://mp.weixin.qq.com/s/qHj8OB8YPdBSH_6pb60-6A,https://web.archive.org/save/https://mp.weixin.qq.com/s/qHj8OB8YPdBSH_6pb60-6A,Untranslated,,
比“武汉加油”更实际的，是善待武汉人,Something More Practical Than Saying “Wuhan Add Oil”: Treat Wuhan People With Kindness,https://mp.weixin.qq.com/s/tUiTDV-XWDOz7rkWQwgFgg,https://web.archive.org/save/https://mp.weixin.qq.com/s/tUiTDV-XWDOz7rkWQwgFgg,Untranslated,,
武汉防疫：如何利用好现有资源？,Wuhan Disease Prevention: How to Better Utilize the Resources We Currently Have?,https://mp.weixin.qq.com/s/QQQwIguacVU-w4YjWVWphQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/QQQwIguacVU-w4YjWVWphQ,Untranslated,,
在武汉，有这样一支4000多人的爱心车队,"In Wuhan, A Car Team With More Than 4000 Volunteers",https://mp.weixin.qq.com/s/AnXfMKhWMRa3XCNN0nfP-w,https://web.archive.org/save/https://mp.weixin.qq.com/s/AnXfMKhWMRa3XCNN0nfP-w,Untranslated,,
“返京潮”的挑战，北京准备好了么？,Is Beijing Ready for the Tide of Returning Migrants?,https://mp.weixin.qq.com/s/HoAJyotAVQSHCphwPwTl_Q,https://web.archive.org/save/https://mp.weixin.qq.com/s/HoAJyotAVQSHCphwPwTl_Q,Untranslated,,
与武汉乘客同机：双方的困境 ,Fly With Passengers From Wuhan: Dilemma on Both Sides,https://mp.weixin.qq.com/s/Bh9pxGlKfvytkaFEc6gDsA,https://web.archive.org/save/https://mp.weixin.qq.com/s/Bh9pxGlKfvytkaFEc6gDsA,Untranslated,,
我守护在武汉金银潭的重症病房,I Protect Them at the ICUs in Wuhan Jinyintan Hospital,https://mp.weixin.qq.com/s/tI0NB1Y9jUoBgddbEad9UQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/tI0NB1Y9jUoBgddbEad9UQ,Untranslated,,
湖北即将断粮的3亿只鸡 ,The 300 Million Chickens That Are About to Starve,https://mp.weixin.qq.com/s/3p0wx4vwYeVefOPY2DmL2g,https://web.archive.org/save/https://mp.weixin.qq.com/s/3p0wx4vwYeVefOPY2DmL2g,Untranslated,,
