Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
Topic 1,,Topic 2,,Topic 3,,Topic 4,,Topic 5,,Topic 6,,Topic 7,,Topic 8,
孩子,enfant,复工,retourner au travail,回复,recouvrer / guérir,护士,infirmier-ère,捐赠,contribuer,临床,clinique (diagnostique et traitement des maladies),登录,s'enregistrer/log in,意大利,Italie
妈妈,maman,生产,produire,日记,journal (intime),方舱,cabine,居民,habitant / résident,感染者,personne infectée,代表,représenter / délégué ,韩国,Corée du Sud
小区,quartier / voisinage,员工,employé,老师,maître-esse / professeur-e,病房,chambre d'hôpital,酒店,hôtel,疫苗,vaccin,观点,point de vue,日本,Japon
母亲,mère,行业,industrie/profession,学生,étudiant-e,床位,lit d'hôpital,小区,quartier / voisinage,传染病,maladie infectieuse,金融,finance,英国,Grande-Bretagne
超市,supermarché,产品,marchandise,游戏,jeu,收治,être admis à l'hôpital,志愿者,bénévole,药物,médicaments,博客,blog,伊朗,Iran
群里,en groupe,工厂,fabrique/usine,写,écrire,门诊,consultation externe,指挥部,siège (direction),核酸,ADN,政经,économie politique,航班,numéro de vol
父母,parents,价格,prix,微博,Weibo,医疗队,équipe de soin,医用,Médical / clinique,无症状,sans symptôme,投资,investir,德国,Allemagne
跑,courir,销售,vendre,学校,école,出院,sortir d'hôpital,单位,unité (de travail),疾控中心,Centre de contrôle et de prévention des maladies,微博,Weibo,欧洲,Europe
早上,matin,订单,ordre (d'achat),学习,étudier,家属,membre de la famille,排查,inspecter / auditer,公共卫生,santé publique,科技,science et technologie,回国,revenir au pays
过年,Passer la nouvelle année,消费,dépenser/consommer,直播,diffuser / broadcast,救治,donner des soins intensifs,保障,garantir / protéger,卫健委,Wei Jianwei,最新,dernières (nouvelles) / (le plus neuf),机场,aéroport
父亲,père,收入,revenu,举报,dénoncer / signaler,病情,condition (d'un patient),黄冈,Huanggang (préfecture dans le Hubei),诊断,faire un diagnostique,网友,ami sur internet / internaute,乘客,passager
打电话,téléphoner,业务,service,教育,éducation,核酸,ADN,车辆,véhicule,团队,équipe,课,cours,入境,entrer dans un pays
酒店,hôtel,成本,"coûts (de production,…)",相信,faire confiance,住院,être hospitalisé,现场,scène / site,出院,sortir d'hôpital,数字,numériques / dizaine,关闭,fermer
爸爸,papa,办公,travailler (dans un bureau),网友,ami sur internet / internaute,医护,personnel médical (lit. Docteurs-eresses et infirmiers-ères),红十字会,Croix-Rouge,有效,efficace,复工,retourner au travail,特朗普,Trump
心里,cœur / pensée,客户,client,情绪,humeur,定点医院,l'hôpital désigné,司机,chauffeur,方案,plan / programme,会议,conférence,取消,annuler
车,voiture,增长,croître/augmenter,同学,camarade de classe,病区,section maladie,疑似病例,cas suspect,阳性,positif,发表,publier,香港,Hong-Kong
门口,porte,资金,fonds / capital,历史,histoire,支援,soutenir/assister,规定,règle,研发,recherche et dévelopement,个人观点,point de vue,留学生,étudiant en échange
女儿,fille,亿元,100mio de Yuan,喜欢,apprécier,李文亮,Li Wen-Ming,采购,acquérir / acheter,野生动物,animaux sauvages,私房,privé,民众,peuple
上班,aller travailler / travailler,物流,logistique,灾难,catastrophe,科室,unité (de soin),应急,répondre à une urgence,实验室,laboratoire,更新,regénérer / mettre à jour,西班牙,Espagne
那天,ce jour-là,受,recevoir,真实,vrai / véritable / authentique,中心医院,centre hospitalier,监狱,prison,华南,Sud de la Chine,戳,piquer / percer / mettre debout,邮轮,croisière
志愿者,bénévole,用户,utilisateur/client,网上,en ligne,心理,psychologie,登记,enregistrer (son nom),系统,système,组图,image,法国,France
出去,sortir,集团,groupe / conglomérat,心理,psychologie,金银,or et argent,市民,résident d'une ville,分析,analyser,市民,résident d'une ville,境外,à l'étranger 
有点,un peu,供应链,chaîne d'approvisionnement,孩子,enfant,医务人员,personnel médical,体温,température (du corps),技术,technique,民生,Moyens d'existence du peuple,国际,international
路上,sur la route,产能,capacité de production,文化,culture / civilisation,潭,imbiber / pénétrer,人民,peuple,标准,norme / standard,文化,culture / civilisation,输入,importer
昼, de jour,线上,en ligne,这场,(classificateur),去世,mourir,重点,point important,教授,professeur,账号,nom d'utilisateur,海外,outremer
第二天,le landemain,下降,décliner / diminuer,投诉,se plaindre,呼吸,respirer,街道,voie publique / quartier,预防,prévention,财,argent / richesse,学校,école
回去,revenir,供应,fournir / approvisionner,一场,(classificateur),信号,signal,领导,guide / leader,试剂盒,boîte de réactif,专题,sujet / article,旅客,touriste
过来,passer / venir,冲击,attaquer / avoir un impact,真正,authentique / vrai,微,micro,统一,s'unir,海鲜,fruits de mer,指数,index,蔓延,propager
钱,argent / monnaie,占,occuper / prendre possesion,专业,branche d'étude,发烧,avoir de la fièvre,通报,annoncer,样本,échantillon / specimen,快捷,rapide / (raccourci d'ordinateur),纽约,New-York
儿子,garçon,项目,projet / article (à vendre),转发,transmettre / envoyer / faire suivre,检查,examiner,实行,réaliser / mettre en pratique,卫生,hygiène,周刊,hebdomadaire,华人,chinois établis à l'étranger
